Using Device: mps and False
Training and Testing Data Loaded!
Epoch 1
-----------------------
loss: 2.327361  [    0/60000]
loss: 2.333903  [  100/60000]
loss: 2.257871  [  200/60000]
loss: 2.351721  [  300/60000]
loss: 2.215047  [  400/60000]
loss: 2.346138  [  500/60000]
loss: 2.225910  [  600/60000]
loss: 2.271549  [  700/60000]
loss: 2.193556  [  800/60000]
loss: 2.242596  [  900/60000]
loss: 2.239047  [ 1000/60000]
loss: 2.238703  [ 1100/60000]
loss: 2.198678  [ 1200/60000]
loss: 2.166408  [ 1300/60000]
loss: 2.105504  [ 1400/60000]
loss: 2.220822  [ 1500/60000]
loss: 2.264117  [ 1600/60000]
loss: 2.213620  [ 1700/60000]
loss: 2.149160  [ 1800/60000]
loss: 2.176569  [ 1900/60000]
loss: 2.346330  [ 2000/60000]
loss: 1.855566  [ 2100/60000]
loss: 2.119757  [ 2200/60000]
loss: 2.051932  [ 2300/60000]
loss: 2.181105  [ 2400/60000]
loss: 1.836400  [ 2500/60000]
loss: 2.188238  [ 2600/60000]
loss: 1.926675  [ 2700/60000]
loss: 2.134754  [ 2800/60000]
loss: 2.373118  [ 2900/60000]
loss: 2.315495  [ 3000/60000]
loss: 1.889780  [ 3100/60000]
loss: 2.046527  [ 3200/60000]
loss: 2.028226  [ 3300/60000]
loss: 1.909547  [ 3400/60000]
loss: 2.333332  [ 3500/60000]
loss: 2.185673  [ 3600/60000]
loss: 1.866951  [ 3700/60000]
loss: 2.001015  [ 3800/60000]
loss: 1.918867  [ 3900/60000]
loss: 1.599300  [ 4000/60000]
loss: 1.927046  [ 4100/60000]
loss: 1.796011  [ 4200/60000]
loss: 1.588181  [ 4300/60000]
loss: 1.461341  [ 4400/60000]
loss: 1.499824  [ 4500/60000]
loss: 2.307502  [ 4600/60000]
loss: 1.736156  [ 4700/60000]
loss: 1.722909  [ 4800/60000]
loss: 1.773811  [ 4900/60000]
loss: 1.463829  [ 5000/60000]
loss: 1.002082  [ 5100/60000]
loss: 1.803245  [ 5200/60000]
loss: 0.678080  [ 5300/60000]
loss: 1.785040  [ 5400/60000]
